parametro,valor
PH,0.2507638184950076
th1,0.7893773332008946
tw,0.4276429466205382
ASC2,-0.22069972112185018
ASC3,-3.0034804342901764
ASC4,-2.2714622046098474
ASC5,0.2035188373120328
ASC6,-3.1955754284401725
ASC7,-1.116503094132903
BAGE65_2,0.3252046639209121
BAGE65_3,1.172779068326048
BAGE65_5,0.5663347225531628
BCP_3,0.4873379441407305
BCP_4,-2.045104874716751
BED_2,0.9071638029798441
BED_6,-1.5584775112079283
BESC_2,-0.3753917745993244
BESC_4,-0.6154585864018746
BESC_5,-0.44901969799199293
BFEM_2,0.7710673137017308
BFEM_3,0.9482373935224944
BFEM_4,-0.9732951708604951
BFEM_5,0.4276712176429128
BFEM_6,-0.5370618070867283
BFEM_7,0.6085006141008238
BNTRAB_2,0.3157310573084769
BPAREJA_2,-0.820609371312262
BPAREJA_3,-0.9419766405126402
BPAREJA_4,-0.5425312957875859
BPAREJA_5,-0.500034773177687
BPAREJA_6,-0.23228408209377277
BPAREJA_7,-0.6750649401456119
BQ3_5,-0.3493322691090808
BQ4_2,-0.5489882006518615
BQ4_5,-0.41673019797994626
BQ5_2,-0.8083010119280529
BQ5_5,-0.5201822518206276
BTC_2,-1.1288293838760206
BTC_4,-2.00967168819407
BTC_6,-1.2524064679376512
BTC_7,-1.2093778500350152
BTD_2,-0.9497493657575382
BTD_4,-0.9188507317254289
BTD_5,1.3461436785003138
BTD_6,-3.040430686508002
BTEC_2,-0.36843619901509606
BTEC_5,-0.6617358226910371
BTEC_7,-0.1878794257985839
BTMOD_5,-0.18635525529976726
BTMOD_6,0.28164806244197016
BUNI_2,-1.0310922976050922
BUNI_3,-0.6437443466949361
BUNI_4,-1.172741923229259
BUNI_5,-1.2649614957594841
BUNI_6,-0.6612055174706998
BUNI_7,-0.9963242615677055
BZCEN_4,1.063956156986789
BZCEN_5,0.2623284550407098
BZCEN_6,-0.7543094567229746
BZSUR_2,-0.674906163914984
BZSUR_3,-0.6775259625965195
BZSUR_5,-0.2271001128015805
BZSUR_6,-0.920999159271523
BZSUR_7,-0.4712450539259886
