parametro,Estimate,Std_error,t_ratio,abs_t_ratio
PH,0.2613236605928684,0.008409125791507988,31.07619829599503,31.07619829599503
th1,0.7995494868444122,0.0010521181406422681,759.9426870031205,759.9426870031205
tw,0.3002039094075435,0.019075459475756253,15.737702663942873,15.737702663942873
ASC2,-0.17408096721801178,0.07805438958610966,-2.2302521119067302,2.2302521119067302
ASC3,-3.1583061022238206,0.15024559695146292,-21.02095612987658,21.02095612987658
ASC4,-2.133514777427605,0.14736255000195184,-14.477998496899966,14.477998496899966
ASC5,-0.009028801686633475,0.09097597528082027,-0.09924380210010175,0.09924380210010175
ASC6,-3.188058676943315,0.19795868829996618,-16.104666606562173,16.104666606562173
ASC7,-1.134589044703752,0.08118803796159117,-13.974830199006767,13.974830199006767
BAGE65_2,0.5446288302419175,0.08562147960822818,6.3608901964079,6.3608901964079
BAGE65_3,1.1127700925841737,0.10090792545590853,11.02757873136928,11.02757873136928
BAGE65_5,0.47388001515134187,0.08889018299670251,5.331072556897774,5.331072556897774
BCP_3,1.0046670598400231,0.22577005139958004,4.449957173734744,4.449957173734744
BCP_4,-2.356236328809553,NA,NA,NA
BED_2,1.0458755224800798,0.10228712685459682,10.224898818077202,10.224898818077202
BED_6,-1.8728373248073276,0.09087734950938073,-20.608406109093288,20.608406109093288
BESC_2,-0.16944425651268913,0.062045043256657405,-2.7309878052910834,2.7309878052910834
BESC_4,-0.31446565396471565,0.15671813214390956,-2.0065684146614973,2.0065684146614973
BESC_5,-0.26712388862012565,0.06989669879027911,-3.821695348182537,3.821695348182537
BFEM_2,0.9187356833756811,0.060485069217176515,15.189462379168098,15.189462379168098
BFEM_3,0.943041403632628,0.1561524570074078,6.039235127679679,6.039235127679679
BFEM_4,-0.6840977109753388,0.1655966588109219,-4.131108175053464,4.131108175053464
BFEM_5,0.5725417674737815,0.05044729896482111,11.349304704559849,11.349304704559849
BFEM_6,-0.3969870434595944,0.1342717056677704,-2.956594924338436,2.956594924338436
BFEM_7,0.7919867285817371,0.07245269833667184,10.931086719524897,10.931086719524897
BNTRAB_2,0.14906881691761048,0.030294067120738375,4.9207264354267775,4.9207264354267775
BPAREJA_2,-0.7488028083990848,0.05893927370538898,-12.70464940138242,12.70464940138242
BPAREJA_3,-0.6812171537433257,0.1269075770503713,-5.36782097315546,5.36782097315546
BPAREJA_4,-0.6287387915954585,0.1461099484070473,-4.303189471013,4.303189471013
BPAREJA_5,-0.652030761075966,0.04990903249723978,-13.064383909105562,13.064383909105562
BPAREJA_6,-0.3358392760491195,0.13026357529864963,-2.578151837757834,2.578151837757834
BPAREJA_7,-0.5829630342117362,0.07104553202187451,-8.205484815459545,8.205484815459545
BQ3_5,-0.23150273297004983,0.05899426931654686,-3.9241562892807518,3.9241562892807518
BQ4_2,-0.34771216637571173,0.07235341316402599,-4.805746559425529,4.805746559425529
BQ4_5,-0.42601869715033747,0.06311613849678605,-6.749758576754991,6.749758576754991
BQ5_2,-0.7824079284337538,0.0944384811905159,-8.284842349967061,8.284842349967061
BQ5_5,-0.7303416510003173,0.0785381301119649,-9.299198363382647,9.299198363382647
BTC_2,-1.0848405693213672,0.08812415281536685,-12.310365940132993,12.310365940132993
BTC_4,-1.9267785735065155,0.293038308340961,-6.575176414356845,6.575176414356845
BTC_6,-1.0467322256830094,NA,NA,NA
BTC_7,-0.9575526364469276,0.11183948929611957,-8.561847362442768,8.561847362442768
BTD_2,-0.8415226946661396,0.06482248656015424,-12.98195640621129,12.98195640621129
BTD_4,-0.8950696131476654,0.16551985160497948,-5.407626967209885,5.407626967209885
BTD_5,1.0444426161152656,0.04768926419636245,21.90100085869917,21.90100085869917
BTD_6,-3.282474036113939,NA,NA,NA
BTEC_2,-0.5040992390755965,0.06726726911280063,-7.49397508958289,7.49397508958289
BTEC_5,-0.5876308668045724,0.07162736837800418,-8.203999115302219,8.203999115302219
BTEC_7,-0.22250482088262175,0.07964188845150376,-2.793816485380195,2.793816485380195
BTMOD_5,-0.04990673070830968,0.013631297702834718,-3.6611870561620297,3.6611870561620297
BTMOD_6,0.4856852515825656,0.03539191266379504,13.72305747350604,13.72305747350604
BUNI_2,-1.0388108605063255,0.06979920252866074,-14.882847122497884,14.882847122497884
BUNI_3,-0.879125994501772,0.18125619669916665,-4.850184493062431,4.850184493062431
BUNI_4,-1.3704394412467027,0.1771090241752247,-7.737829552326164,7.737829552326164
BUNI_5,-1.1132538480073226,0.07982104711013997,-13.946871010990556,13.946871010990556
BUNI_6,-0.8909663720079177,0.15597662396031498,-5.71217884697008,5.71217884697008
BUNI_7,-0.8134396570512367,0.08653245032844677,-9.400400126931638,9.400400126931638
BZCEN_4,0.9272613177045265,0.13708246473158783,6.764259159770259,6.764259159770259
BZCEN_5,0.26777622387167654,0.0531595636908247,5.03721635920602,5.03721635920602
BZCEN_6,-0.5658530251158895,0.13197813532841082,-4.287475525456062,4.287475525456062
BZSUR_2,-0.5409554917347391,0.06881356732245866,-7.861174951152222,7.861174951152222
BZSUR_3,-0.5815900245805852,0.1822887740612197,-3.1904873329460455,3.1904873329460455
BZSUR_5,-0.34693735779780227,0.06907350787623164,-5.02272677999005,5.02272677999005
BZSUR_6,-0.6080916915235447,0.13931661568805379,-4.364818141183771,4.364818141183771
BZSUR_7,-0.3049146479566088,0.08310985505548751,-3.6688145798477856,3.6688145798477856
