etapa,n_personas,pct_sobre_mnl_v9
Personas enut_ii,8926,100.0784841349927
Personas compatibles con MNL V9,8919,100
Variables finitas para MTUEM,8919,100
Tw > 0 y w > 0,8919,100
Tc valido y tiempo libre observado > 0,8919,100
Ec corregido > 0,7929,88.90010090817356
Ingreso potencial neto de Ec > 0,7925,88.85525283103487
Muestra final MTUEM general,7925,88.85525283103487
