PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tf1,Tf2,w,ta,Ec_cuentas_num,Ec_hogar_num,Ec_salud_num,Ec_transporte_num,Ec_educacion_num,ing_jub_aps_num,ing_gpp_num,w_dc_num,t_domestic_work_num,t_care_work_num,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,Ec,Tc,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec,filtro_finite,filtro_trabajo_salario,filtro_tiempo,filtro_Ec,filtro_ingreso_potencial,filtro_mtuem_final
45,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,71.07,36.76,11.95,2.852962,168,65.99,12.75,11.24,22.23,10.95,0,0,2.982738,26.07,0,123.16,0,123.16,77.75997966,200.91997966,48.22000000000001,168,48.709999999999994,1.8400296799999865,140.80780869999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
46,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,62.58,35.37,6.87,40.077886,168,221.15,144.13,164.9,168.77,24.26,0,0,3.129486,2.58,0,723.2099999999999,0,723.2099999999999,8.07407388,731.2840738799999,63.180000000000014,168,42.239999999999995,1776.7900319999999,3469.6799366399996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
47,00071-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,69.73,27.65,12.58,5.684662,168,68.1,21.89,23.16,42.08,5.92,0,0,2.886837,24.73,0,161.14999999999998,0,161.14999999999998,71.39147901,232.54147901,58.040000000000006,168,40.23,163.85000225000005,392.54395451000005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
48,00072-1-01,45 a 59,Hombres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,23.45,38.98,10.01,3.093519,168,0,0,0,0,0,0,0,3.093519,23.45,0,0,0,0,72.54302055,72.54302055,95.56000000000002,168,48.989999999999995,0,151.55149580999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,00074-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad activa,32.52,19.35,16.59,3.006672,168,21.51,5.16,7.11,5.71,0.18,49,98,3.006672,32.52,0,39.67,147,-107.33,97.77697344,-9.553026559999992,99.53999999999999,168,35.94,107.33,215.38979168000003,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
50,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,75.81,27.7,14.02,2.84351,168,22.64,7.97,8.5,16.18,4.99,0,3.56796116504854,3.087587,35.76,0.05,60.28,3.56796116504854,56.712038834951464,110.56649046999999,167.27852930495146,50.47,168,41.72,48.28796379504857,166.91920099504858,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
51,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,74.54,20.94,13.85,7.569237,168,79.17,26.37,29.82,74.19,30.89,0,0,3.130155,2.29,2.25,240.44,0,240.44,14.2109037,254.6509037,58.669999999999995,168,34.79,309.5600222800001,572.8937775100002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
52,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,56.96,31.02,18.93,3.106725,168,0,0,0,0,0,0,0,3.106725,56.82,0.14,0,0,0,176.959056,176.959056,61.089999999999996,168,49.95,0,155.18091374999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
53,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,24.35,47.87,7.12,3.03938,168,0,0,0,0,0,0,0,3.03938,24.35,0,0,0,0,74.008903,74.008903,88.66,168,54.989999999999995,0,167.1355062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
54,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,54.25,38.3,12.83,2.879951,168,10.45,2.35,3.41,4.94,0.19,0,0,3.028827,34.24,0.01,21.340000000000003,0,21.340000000000003,103.73732475,125.07732475,62.620000000000005,168,51.129999999999995,31.16001700000001,178.41191163000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
