dimension,categoria,orden_categoria,indicador,media,mediana,p25,p75,p95,p99,se_muestral,ic_muestral_inf,ic_muestral_sup,se_delta,ic_delta_inf,ic_delta_sup,metodo_ic_principal,ic95_inf,ic95_sup,n_valido
territorio,Centro,2,VoL_predicho,6.12670527364195,4.721335862461998,3.740042913169177,6.309214239037194,14.361552512567725,31.285030016545758,0.10604753990175578,5.918793049854496,6.334617497429405,0.26242104374871456,5.61236002789447,6.641050519389431,delta,5.61236002789447,6.641050519389431,4004
territorio,Centro,2,VTAW_predicho,2.1815573755400526,1.4967492204159893,0.8489442180647652,2.6439343912830284,5.801842585037666,13.637820714842208,0.053721856830827,2.0762326246779765,2.2868821264021286,0.26242104362017393,1.6672121300445117,2.6959026210355934,delta,1.6672121300445117,2.6959026210355934,4004
territorio,Centro,2,VoL_observado,7.947193759582392,4.884736593865586,0,9.92105563917828,27.160570150970067,62.524594529812184,0.20958901139502265,7.536282601427069,8.358104917737716,NA,NA,NA,t_muestra,7.536282601427069,8.358104917737716,4004
territorio,Centro,2,VTAW_observado,4.002045861480494,1.7883575778771843,-2.93731125,6.082086084004959,19.059347916197087,47.239736297602796,0.17607746844111447,3.6568359862078346,4.347255736753153,NA,NA,NA,t_muestra,3.6568359862078346,4.347255736753153,4004
territorio,Centro,2,w,3.945147898101898,3.0750735,2.87504325,3.7945695,8.791440149999996,17.682019479999997,0.054401667846625784,3.8384903391409178,4.051805457062878,NA,NA,NA,t_muestra,3.8384903391409178,4.051805457062878,4004
