dimension,categoria,orden_categoria,indicador,media,mediana,p25,p75,p95,p99,se_muestral,ic_muestral_inf,ic_muestral_sup,se_delta,ic_delta_inf,ic_delta_sup,metodo_ic_principal,ic95_inf,ic95_sup,n_valido
muestra_general,Muestra general,1,VoL_predicho,5.937480134401695,4.557256666707038,3.647741259474441,6.096033530357493,13.874362058636024,27.273567952187605,0.06939252330278282,5.801452510217749,6.073507758585641,0.17728745485262046,5.589996722890559,6.284963545912831,delta,5.589996722890559,6.284963545912831,7925
muestra_general,Muestra general,1,VTAW_predicho,1.9278886911209376,1.3389001715361424,0.7606914018373465,2.3494889128062875,5.051463006904615,11.315586973871868,0.03220180761962145,1.864764665989113,1.9910127162527622,0.17728745474253074,1.5804052798255774,2.275372102416298,delta,1.5804052798255774,2.275372102416298,7925
muestra_general,Muestra general,1,VoL_observado,7.599781814817923,4.800875910766598,0,9.663570440814924,25.74842151740927,56.20071354324091,0.13243897495441564,7.3401665384890995,7.859397091146746,NA,NA,NA,t_muestra,7.3401665384890995,7.859397091146746,7925
muestra_general,Muestra general,1,VTAW_observado,3.5901903715371652,1.6453018522380232,-2.923122,5.586436488783959,18.38555295275843,41.82068652379817,0.1084102617496972,3.3776777024326594,3.802703040641671,NA,NA,NA,t_muestra,3.3776777024326594,3.802703040641671,7925
muestra_general,Muestra general,1,w,4.009591443280757,3.08881,2.885168,3.960761,8.844060999999998,17.095946720000036,0.0384776347382811,3.9341651438964815,4.085017742665033,NA,NA,NA,t_muestra,3.9341651438964815,4.085017742665033,7925
edad,18 a 29,1,VoL_predicho,2.066438000598244,1.8661134684436025,1.3823698018087034,2.3900732039069927,3.8225236712196593,7.35503495388548,0.039161689632415786,1.9896276836859552,2.1432483175105324,0.10928232821800714,1.85224463729095,2.280631363905538,delta,1.85224463729095,2.280631363905538,1697
edad,18 a 29,1,VTAW_predicho,-1.3859506405331645,-1.1710780165441,-1.7105008527712249,-0.7575599484198012,-0.37304756224485097,-0.22769319360889403,0.05106399584037179,-1.486105708920718,-1.2857955721456111,0.10928232821800714,-1.6001440038404584,-1.1717572772258706,delta,-1.6001440038404584,-1.1717572772258706,1697
edad,18 a 29,1,VoL_observado,2.448922660596262,0.46374991255926246,0,3.709857896576316,9.182469311629626,19.492594959158723,0.10689509886490751,2.23926249278298,2.6585828284095445,NA,NA,NA,t_muestra,2.23926249278298,2.6585828284095445,1697
edad,18 a 29,1,VTAW_observado,-1.003465980535146,-2.1774010874407375,-3.0425470000000003,0.3976523041454252,4.22514104106145,10.883573596680723,0.09136438945680798,-1.1826647785069864,-0.8242671825633058,NA,NA,NA,t_muestra,-1.1826647785069864,-0.8242671825633058,1697
edad,18 a 29,1,w,3.4523886411314084,3.039581,2.845078,3.246554,6.035044599999999,12.49340348,0.08434911362844615,3.286949350593016,3.617827931669801,NA,NA,NA,t_muestra,3.286949350593016,3.617827931669801,1697
edad,30 a 44,2,VoL_predicho,8.855765413999617,6.373540255120099,4.510457248210239,10.095224071632494,21.719305415889647,42.504375283466395,0.18961183386573083,8.483954183919902,9.227576644079331,0.5741125557376702,7.730504804753783,9.98102602324545,delta,7.730504804753783,9.98102602324545,2517
edad,30 a 44,2,VTAW_predicho,4.546112402080665,3.00797848048129,1.6262910502545824,5.5475253580770385,13.01351094330104,25.857937433421498,0.12846104953917004,4.294212191673374,4.798012612487955,0.5741125567690392,3.420851790813348,5.671373013347981,delta,3.420851790813348,5.671373013347981,2517
edad,30 a 44,2,VoL_observado,11.23063927374436,7.487702426427388,1.1883054505575887,15.175134268124697,36.181186011430356,76.8236621729913,0.3004619975891941,10.641461147895134,11.819817399593587,NA,NA,NA,t_muestra,10.641461147895134,11.819817399593587,2517
edad,30 a 44,2,VTAW_observado,6.92098626182541,4.098156474491137,-1.3224785045632657,10.241870720678126,27.43266842326918,62.46324070383387,0.2556328831127701,6.419713874015016,7.422258649635805,NA,NA,NA,t_muestra,6.419713874015016,7.422258649635805,2517
edad,30 a 44,2,w,4.309653011918951,3.201757,2.906574,4.89065,9.146123599999994,16.917574080000048,0.06387504623034873,4.184399967179549,4.434906056658353,NA,NA,NA,t_muestra,4.184399967179549,4.434906056658353,2517
