parametro,valor
PH,0.26295229616190674
th1,0.7996570409599634
tw,0.29573610603615863
ASC2,-0.13409490520209222
ASC3,-3.118716501573865
ASC4,-2.1722242549809243
ASC5,0.04184883748508131
ASC6,-3.0692169977312536
ASC7,-1.09748129678427
BAGE65_2,0.4828060726838999
BAGE65_3,1.0286241406583678
BAGE65_5,0.41882817342689826
BCP_3,0.9901535100107268
BCP_4,-2.367073834090123
BED_2,1.0016454806777568
BED_6,-1.7345505067652227
BESC_2,-0.2188368990276164
BESC_4,-0.36081938173482886
BESC_5,-0.31263497748685304
BFEM_2,0.955344540845287
BFEM_3,0.921105420083779
BFEM_4,-0.668130988717698
BFEM_5,0.5725107293723928
BFEM_6,-0.450482981423876
BFEM_7,0.7950132929370932
BNTRAB_2,0.16121005586487946
BPAREJA_2,-0.7692174370035559
BPAREJA_3,-0.7030981055900443
BPAREJA_4,-0.6307652929026679
BPAREJA_5,-0.6567765673160478
BPAREJA_6,-0.3637269361035719
BPAREJA_7,-0.5951955935545201
BQ3_5,-0.24345634106065844
BQ4_2,-0.37279454332537737
BQ4_5,-0.44519730099073135
BQ5_2,-0.8006302077424418
BQ5_5,-0.7551631403950914
BTC_2,-1.1352808018173335
BTC_4,-2.1099835778558074
BTC_6,-1.1015662964567043
BTC_7,-1.012032767834863
BTD_2,-0.8762961957584873
BTD_4,-0.9842394191288815
BTD_5,1.0342924980724069
BTD_6,-3.12934117170514
BTEC_2,-0.5676365163823763
BTEC_5,-0.6446537331418267
BTEC_7,-0.27153682987508904
BTMOD_5,-0.044724070423018875
BTMOD_6,0.48103467511052217
BUNI_2,-1.124120964250533
BUNI_3,-1.0097275184031542
BUNI_4,-1.4246828938038663
BUNI_5,-1.1809416817467817
BUNI_6,-0.964098892495605
BUNI_7,-0.8918544117110628
BZCEN_4,0.961068608175092
BZCEN_5,0.2589842821863203
BZCEN_6,-0.6759076194449336
BZSUR_2,-0.580947775969519
BZSUR_3,-0.6797591804748241
BZSUR_5,-0.3771955698448328
BZSUR_6,-0.7731514243872083
BZSUR_7,-0.33743610635090915
