dimension,categoria,orden_categoria,indicador,media,mediana,p25,p75,p95,p99,se_muestral,ic_muestral_inf,ic_muestral_sup,se_delta,ic_delta_inf,ic_delta_sup,metodo_ic_principal,ic95_inf,ic95_sup,n_valido
sexo,Mujeres,2,VoL_predicho,5.824378221035157,4.765545241944368,3.809411513824025,6.582982588826507,12.157472102032143,23.21650561389153,0.058608130779367516,5.709479525103617,5.939276916966697,0.22856119067104222,5.376398287319914,6.2723581547504,delta,5.376398287319914,6.2723581547504,4818
sexo,Mujeres,2,VTAW_predicho,2.26851855851959,1.645233389377552,0.8951181452266797,2.966862507181942,5.541838591015079,11.056298090599155,0.033228380830913215,2.2033757605047355,2.3336613565344444,0.22856119041985953,1.8205386252966653,2.716498491742515,delta,1.8205386252966653,2.716498491742515,4818
sexo,Mujeres,2,VoL_observado,7.590739360055558,4.55345882201056,0,10.268227528409005,26.50897691308384,53.583936592532936,0.17001211769894178,7.257437984352158,7.9240407357589575,NA,NA,NA,t_muestra,7.257437984352158,7.9240407357589575,4818
sexo,Mujeres,2,VTAW_observado,4.034879697539991,1.6324091145653317,-2.9881369999999996,6.737163120356589,20.860590708010037,43.54634914025653,0.15101787783794943,3.738815704452575,4.330943690627407,NA,NA,NA,t_muestra,3.738815704452575,4.330943690627407,4818
sexo,Mujeres,2,w,3.5558596625155667,3.056833,2.89752675,3.4080777500000003,6.808978849999999,11.887959419999984,0.02812123528227201,3.500729201623022,3.6109901234081114,NA,NA,NA,t_muestra,3.500729201623022,3.6109901234081114,4818
