parametro,valor
PH,0.26311544489802147
th1,0.7996737208506346
tw,0.2953592773793383
ASC2,-0.13617668963565857
ASC3,-3.121165517666119
ASC4,-2.16697210803722
ASC5,0.04441484313836219
ASC6,-3.0405141904109088
ASC7,-1.0957626932652706
BAGE65_2,0.4820391519394652
BAGE65_3,1.0254629263602695
BAGE65_5,0.4158370730899017
BCP_3,0.9906922982729258
BCP_4,-2.3469043092348922
BED_2,1.003787392820305
BED_6,-1.737195846850357
BESC_2,-0.21875885986793256
BESC_4,-0.3612341802199264
BESC_5,-0.3138324426021293
BFEM_2,0.9561429466199013
BFEM_3,0.9242296905306956
BFEM_4,-0.6677396766671987
BFEM_5,0.5712377028252064
BFEM_6,-0.45434561911181276
BFEM_7,0.7920343192854519
BNTRAB_2,0.16195700899858195
BPAREJA_2,-0.7677158137047244
BPAREJA_3,-0.701839483542719
BPAREJA_4,-0.6352943992115269
BPAREJA_5,-0.6559215945933193
BPAREJA_6,-0.36764785146325785
BPAREJA_7,-0.5934925186511222
BQ3_5,-0.24302902810748375
BQ4_2,-0.37509392930252144
BQ4_5,-0.4449517574986527
BQ5_2,-0.8031303025368148
BQ5_5,-0.7549080023838255
BTC_2,-1.1374062391772553
BTC_4,-2.0989565110753947
BTC_6,-1.139239349861373
BTC_7,-1.015898867671719
BTD_2,-0.8766930453113513
BTD_4,-0.9863531096609504
BTD_5,1.0336623295985532
BTD_6,-3.133027159009567
BTEC_2,-0.5673636426387688
BTEC_5,-0.645822222877318
BTEC_7,-0.2708858975950769
BTMOD_5,-0.044662839517573764
BTMOD_6,0.4770553498560502
BUNI_2,-1.1229800692214675
BUNI_3,-1.0124856618048081
BUNI_4,-1.4328762296938793
BUNI_5,-1.1822661255399822
BUNI_6,-0.9642591429630462
BUNI_7,-0.8890066862621656
BZCEN_4,0.9586971273944375
BZCEN_5,0.25816933859191393
BZCEN_6,-0.6832607145523335
BZSUR_2,-0.5820743959757513
BZSUR_3,-0.6833320405972626
BZSUR_5,-0.3794370551045951
BZSUR_6,-0.7810296519988985
BZSUR_7,-0.34052904766096237
