parametro,valor
PH,0.4588600285728395
th1,0.8136438051743798
tw,0.024207747172479255
ASC2,-0.36157149002817
ASC3,-3.3548299357467672
ASC4,-2.1680330551595555
ASC5,0.017418116502974312
ASC6,-3.6676557432721975
ASC7,-1.016785639593474
BAGE65_2,0.7801917489459557
BAGE65_3,1.9476473692019431
BAGE65_5,1.0420037854139816
BCP_3,0.9705365578087716
BCP_4,-2.7349499054990063
BED_2,1.548175516251054
BED_6,-2.236720643813896
BESC_2,-0.3402783794707873
BESC_4,-0.004742491088538081
BESC_5,-0.45462027376758773
BFEM_2,1.5912858094850832
BFEM_3,0.9043160215996626
BFEM_4,-1.0131869901382093
BFEM_5,1.0143604211712094
BFEM_6,-0.509877144681833
BFEM_7,0.9032824075507675
BNTRAB_2,-0.02322268927797122
BPAREJA_2,-0.7106473834718925
BPAREJA_3,-0.8289823726825569
BPAREJA_4,-1.1944127804487024
BPAREJA_5,-1.1155158822284528
BPAREJA_6,-0.6889518455558228
BPAREJA_7,-0.43000273144688234
BQ3_5,0.17952771914426757
BQ4_2,-0.004166598220449055
BQ4_5,-0.10180892319881045
BQ5_2,-1.1522842482911009
BQ5_5,-1.362209884769769
BTC_2,-1.0376673645422079
BTC_4,-1.3044939794414467
BTC_6,-0.29938859014511854
BTC_7,-0.8568825562919697
BTD_2,-0.9611316525877018
BTD_4,-1.4769367885305136
BTD_5,0.7862879780627116
BTD_6,-3.69588348701511
BTEC_2,-0.5871087543661913
BTEC_5,-0.43320948093464356
BTEC_7,0.42886368914350625
BTMOD_5,-0.10905009254782194
BTMOD_6,0.7301899086662715
BUNI_2,-1.6644145380815054
BUNI_3,0.06416804407444521
BUNI_4,-0.6546378538040771
BUNI_5,-0.26306945589758013
BUNI_6,-0.23460368911899032
BUNI_7,-0.5431259500791032
BZCEN_4,0.6960779794474223
BZCEN_5,0.6639222681604494
BZCEN_6,-0.7468846284688055
BZSUR_2,-0.9466873785634345
BZSUR_3,0.08740996707086701
BZSUR_5,-0.7150302640759143
BZSUR_6,-1.1363714733074808
BZSUR_7,-0.9960673746989888
