parametro,start,lower,upper
PH,0.2609597773580189,0.001,1.260959777358019
th1,0.7995575884635007,0.05,0.98
tw,0.3012716982550069,-0.6987283017449931,1.301271698255007
ASC2,-0.17075600496273957,-1.1707560049627395,0.8292439950372604
ASC3,-3.1532048621499325,-4.1532048621499325,-2.1532048621499325
ASC4,-2.1211440503963397,-3.1211440503963397,-1.1211440503963397
ASC5,-0.006389126009728707,-1.0063891260097286,0.9936108739902713
ASC6,-3.186231703111124,-4.186231703111124,-2.186231703111124
ASC7,-1.1319015555550376,-2.1319015555550376,-0.13190155555503758
BAGE65_2,0.5384393167523486,-0.4615606832476514,1.5384393167523487
BAGE65_3,1.0976956811380532,0.09769568113805316,2.0976956811380534
BAGE65_5,0.465637097654195,-0.534362902345805,1.465637097654195
BCP_3,0.9816200913080302,-0.018379908691969815,1.9816200913080302
BCP_4,-2.6125080143838475,-3.6125080143838475,-1.6125080143838475
BED_2,1.0421406686705912,0.042140668670591186,2.042140668670591
BED_6,-2.0017677819050728,-3.0017677819050728,-1.0017677819050728
BESC_2,-0.1704700257375161,-1.170470025737516,0.8295299742624839
BESC_4,-0.3256919449490594,-1.3256919449490594,0.6743080550509406
BESC_5,-0.270879717243013,-1.270879717243013,0.7291202827569869
BFEM_2,0.9142846685614341,-0.08571533143856591,1.914284668561434
BFEM_3,0.9452938372411255,-0.05470616275887452,1.9452938372411255
BFEM_4,-0.6885060482026807,-1.6885060482026808,0.3114939517973193
BFEM_5,0.5743475794957789,-0.42565242050422114,1.5743475794957789
BFEM_6,-0.39504647708552265,-1.3950464770855227,0.6049535229144773
BFEM_7,0.7918165050173853,-0.20818349498261468,1.7918165050173853
BNTRAB_2,0.1498946922425981,-0.8501053077574019,1.149894692242598
BPAREJA_2,-0.7457830473314386,-1.7457830473314386,0.25421695266856137
BPAREJA_3,-0.6880052317008529,-1.688005231700853,0.3119947682991471
BPAREJA_4,-0.6270732032022449,-1.627073203202245,0.3729267967977551
BPAREJA_5,-0.6505701179475972,-1.6505701179475971,0.3494298820524028
BPAREJA_6,-0.3418549073816048,-1.3418549073816048,0.6581450926183952
BPAREJA_7,-0.5822694661549827,-1.5822694661549828,0.41773053384501735
BQ3_5,-0.23499323992233204,-1.234993239922332,0.765006760077668
BQ4_2,-0.3491648622351699,-1.34916486223517,0.65083513776483
BQ4_5,-0.42599321957208836,-1.4259932195720884,0.5740067804279116
BQ5_2,-0.7873461675146182,-1.787346167514618,0.21265383248538183
BQ5_5,-0.7298895659330501,-1.7298895659330502,0.2701104340669499
BTC_2,-1.0865256209364809,-2.086525620936481,-0.08652562093648086
BTC_4,-1.9702995357889659,-2.970299535788966,-0.9702995357889659
BTC_6,-1.089193093001105,-2.089193093001105,-0.0891930930011049
BTC_7,-0.9607537392962,-1.9607537392962,0.039246260703799996
BTD_2,-0.839307445337673,-1.839307445337673,0.16069255466232701
BTD_4,-0.8997945473058668,-1.8997945473058668,0.10020545269413317
BTD_5,1.047405508772962,0.0474055087729619,2.047405508772962
BTD_6,-3.41031936176036,-4.41031936176036,-2.41031936176036
BTEC_2,-0.5041292417790016,-1.5041292417790015,0.49587075822099835
BTEC_5,-0.5911849129558144,-1.5911849129558144,0.40881508704418557
BTEC_7,-0.222857673812362,-1.222857673812362,0.777142326187638
BTMOD_5,-0.04975865760787129,-1.0497586576078712,0.9502413423921288
BTMOD_6,0.48801455616738254,-0.5119854438326175,1.4880145561673825
BUNI_2,-1.0372250107785252,-2.037225010778525,-0.03722501077852525
BUNI_3,-0.8795821656035193,-1.8795821656035194,0.12041783439648068
BUNI_4,-1.3941139964787617,-2.3941139964787617,-0.39411399647876166
BUNI_5,-1.1121367960368798,-2.1121367960368795,-0.11213679603687976
BUNI_6,-0.8994221579951733,-1.8994221579951733,0.10057784200482667
BUNI_7,-0.8088722813871404,-1.8088722813871403,0.1911277186128596
BZCEN_4,0.9282401509565392,-0.07175984904346078,1.9282401509565392
BZCEN_5,0.2666366678558457,-0.7333633321441543,1.2666366678558458
BZCEN_6,-0.5659218773782786,-1.5659218773782786,0.4340781226217214
BZSUR_2,-0.5389767381551865,-1.5389767381551867,0.46102326184481346
BZSUR_3,-0.5813719770140456,-1.5813719770140455,0.41862802298595436
BZSUR_5,-0.3482626404278667,-1.3482626404278668,0.6517373595721333
BZSUR_6,-0.6055266774629918,-1.6055266774629917,0.3944733225370082
BZSUR_7,-0.3073217763391357,-1.3073217763391356,0.6926782236608643
