parametro,valor
PH,0.2631426277388978
th1,0.7996617878901754
tw,0.2952249401042727
ASC2,-0.13636677758788884
ASC3,-3.121445760668525
ASC4,-2.1674613831710325
ASC5,0.04405034214479267
ASC6,-3.0408969994689214
ASC7,-1.0960187250489415
BAGE65_2,0.4826627244121169
BAGE65_3,1.0267875815389063
BAGE65_5,0.41694306310635865
BCP_3,0.9915724290603324
BCP_4,-2.3655088370028894
BED_2,1.0037712525638496
BED_6,-1.732544035548422
BESC_2,-0.21854116104045918
BESC_4,-0.3616149328469913
BESC_5,-0.31313233461109213
BFEM_2,0.9561991513189929
BFEM_3,0.9239794259724148
BFEM_4,-0.6686230745666174
BFEM_5,0.5714947616930005
BFEM_6,-0.45382795439312407
BFEM_7,0.7921536280040459
BNTRAB_2,0.1618483449662099
BPAREJA_2,-0.7676129116424172
BPAREJA_3,-0.7017765790751925
BPAREJA_4,-0.6350448436030426
BPAREJA_5,-0.6561430581767781
BPAREJA_6,-0.36679588797361873
BPAREJA_7,-0.5937069775151367
BQ3_5,-0.24313736547079434
BQ4_2,-0.37515798607900447
BQ4_5,-0.4451950972862701
BQ5_2,-0.8026530300204632
BQ5_5,-0.7550208372013772
BTC_2,-1.1368302381457795
BTC_4,-2.094596478975055
BTC_6,-1.134373195136717
BTC_7,-1.0153808866989484
BTD_2,-0.876145100013281
BTD_4,-0.9857571636886345
BTD_5,1.0337299026133875
BTD_6,-3.1272425124118466
BTEC_2,-0.5671612801421078
BTEC_5,-0.6450091889019242
BTEC_7,-0.27087857514081065
BTMOD_5,-0.044692436152786154
BTMOD_6,0.4769469293869225
BUNI_2,-1.12304822536077
BUNI_3,-1.0109455551951394
BUNI_4,-1.430233521754794
BUNI_5,-1.1816047772467957
BUNI_6,-0.9645985115144502
BUNI_7,-0.8891013423687727
BZCEN_4,0.9583864663919531
BZCEN_5,0.25791375963910024
BZCEN_6,-0.6827487779181218
BZSUR_2,-0.5818265906154415
BZSUR_3,-0.6821023479625233
BZSUR_5,-0.37941314943750776
BZSUR_6,-0.7800682695868604
BZSUR_7,-0.3397747994884489
