parametro,valor
PH,0.26333174244493684
th1,0.7995526473856958
tw,0.2961127363037871
ASC2,-0.046360349637330364
ASC3,-3.126598946500132
ASC4,-2.0692765372654063
ASC5,0.04956558564079855
ASC6,-3.0181656502544447
ASC7,-1.0785735122455526
BAGE65_2,0.45753628788708745
BAGE65_3,1.0237199895192057
BAGE65_5,0.4323993057706654
BCP_3,0.9638543500238461
BCP_4,-1.9235860060720484
BED_2,1.0251644466685759
BED_6,-2.0143937526247555
BESC_2,-0.2068244571242413
BESC_4,-0.3294801556090812
BESC_5,-0.27869283735527167
BFEM_2,0.8505062251439673
BFEM_3,0.9648504171550994
BFEM_4,-0.7259101417372771
BFEM_5,0.5497473399929081
BFEM_6,-0.4312832491877606
BFEM_7,0.7583551914998434
BNTRAB_2,0.1272029809533004
BPAREJA_2,-0.7618204491069724
BPAREJA_3,-0.748662664570525
BPAREJA_4,-0.6255861087347442
BPAREJA_5,-0.6814093837824361
BPAREJA_6,-0.3805919498228956
BPAREJA_7,-0.5937699232360273
BQ3_5,-0.2623153084365401
BQ4_2,-0.32524604033234217
BQ4_5,-0.4112431103492003
BQ5_2,-0.7532303623688299
BQ5_5,-0.7205905386839251
BTC_2,-1.0956024864110339
BTC_4,-1.945383926767551
BTC_6,-1.2704203915184387
BTC_7,-0.9563317503368767
BTD_2,-0.8229647647672685
BTD_4,-0.9023355327460277
BTD_5,1.063238700685802
BTD_6,-3.1239290328658944
BTEC_2,-0.5560339816716358
BTEC_5,-0.6075859842021812
BTEC_7,-0.25275225762202513
BTMOD_5,-0.050068060483399436
BTMOD_6,0.46968458086299714
BUNI_2,-1.0316775856322222
BUNI_3,-0.9011922225309256
BUNI_4,-1.4510280620103855
BUNI_5,-1.0974810893591578
BUNI_6,-0.8960587426807817
BUNI_7,-0.774116411804304
BZCEN_4,0.94353159784864
BZCEN_5,0.2637641632905072
BZCEN_6,-0.580760412975369
BZSUR_2,-0.5038953429876312
BZSUR_3,-0.5920211522210495
BZSUR_5,-0.3469475575879287
BZSUR_6,-0.5610350769628832
BZSUR_7,-0.3128572337442756
