parametro,Estimate,Std_error,t_ratio,abs_t_ratio
PH,0.26314419420856716,0.008489430919120914,30.996682429664663,30.996682429664663
th1,0.7996672432388161,0.0010513557532009492,760.6057614695651,760.6057614695651
tw,0.2952254683690635,0.019230141028588933,15.352225858882665,15.352225858882665
ASC2,-0.1363667676599902,0.12398938733151413,-1.09982612701668,1.09982612701668
ASC3,-3.12144575841845,0.21175258771951408,-14.741004074779449,14.741004074779449
ASC4,-2.1674614137370396,0.2926623004211647,-7.406015091858047,7.406015091858047
ASC5,0.0440502935223037,0.09451356958871951,0.46607374701845183,0.46607374701845183
ASC6,-3.0408969540166546,0.2698054723146535,-11.270701546298842,11.270701546298842
ASC7,-1.0960186840372206,0.08513660173386697,-12.873648486268264,12.873648486268264
BAGE65_2,0.4826627362622653,0.12117552022029879,3.983170325035764,3.983170325035764
BAGE65_3,1.026787599465003,0.18488631431419578,5.553616033040068,5.553616033040068
BAGE65_5,0.41694302343574224,0.09411725825815244,4.430037924523015,4.430037924523015
BCP_3,0.991572438295327,0.1354600122948384,7.320038006028663,7.320038006028663
BCP_4,-2.3655088430974645,0.7374706323887845,-3.2075973458566147,3.2075973458566147
BED_2,1.0037712996403432,0.1004819164307566,9.98957160945527,9.98957160945527
BED_6,-1.7325440081787142,0.44832510972430584,-3.8644813118857635,3.8644813118857635
BESC_2,-0.21854114296535065,0.08905285622629752,-2.45406101753775,2.45406101753775
BESC_4,-0.3616149087518137,0.19907128301864355,-1.8165096606020643,1.8165096606020643
BESC_5,-0.31313233007368857,0.07072965530831266,-4.427171724628595,4.427171724628595
BFEM_2,0.9561992077422398,0.06389307058321683,14.965616756465767,14.965616756465767
BFEM_3,0.9239794435483344,0.1809235829238628,5.1070149541376715,5.1070149541376715
BFEM_4,-0.6686230501808671,0.20164672280073462,-3.315814117354112,3.315814117354112
BFEM_5,0.5714947183865008,0.051267976164795705,11.147206524195319,11.147206524195319
BFEM_6,-0.45382795340219684,0.1417047440390191,-3.2026306280701027,3.2026306280701027
BFEM_7,0.7921535096776501,0.07691124429454543,10.299579950155998,10.299579950155998
BNTRAB_2,0.16184829020071723,0.03181705702014794,5.086840373018405,5.086840373018405
BPAREJA_2,-0.7676127829895167,0.06164984434848145,-12.451171468503869,12.451171468503869
BPAREJA_3,-0.7017765913612,0.1719560943060422,-4.081138235858041,4.081138235858041
BPAREJA_4,-0.6350448914581217,0.17611403852296367,-3.605873198889353,3.605873198889353
BPAREJA_5,-0.6561430917267426,0.050077081757343336,-13.102662309800538,13.102662309800538
BPAREJA_6,-0.36679595450730346,0.1364285449753777,-2.688557255913723,2.688557255913723
BPAREJA_7,-0.5937069249997193,0.07060416086603774,-8.408950941661942,8.408950941661942
BQ3_5,-0.24313740349483243,0.05899079507332675,-4.121615977418302,4.121615977418302
BQ4_2,-0.37515795778542466,0.07434310546007787,-5.046304636640231,5.046304636640231
BQ4_5,-0.4451950777769248,0.06526637563891782,-6.821201168576281,6.821201168576281
BQ5_2,-0.8026530426305708,0.09740247758632482,-8.240581374526167,8.240581374526167
BQ5_5,-0.7550208435529973,0.0804931777764626,-9.37993584561618,9.37993584561618
BTC_2,-1.1368302994715085,0.08678332906455313,-13.099639201739839,13.099639201739839
BTC_4,-2.0945964567164452,0.19943436566852946,-10.502685681552878,10.502685681552878
BTC_6,-1.1343732057426186,0.39583656227772746,-2.8657615638514917,2.8657615638514917
BTC_7,-1.0153809295174352,0.11361058641676333,-8.937379530747805,8.937379530747805
BTD_2,-0.8761450746440541,0.07082071658823712,-12.371310498566409,12.371310498566409
BTD_4,-0.9857571472228515,0.16089974307810534,-6.126530275093955,6.126530275093955
BTD_5,1.0337298696669202,0.04801217789753256,21.530576510674088,21.530576510674088
BTD_6,-3.1272424986953276,NA,NA,NA
BTEC_2,-0.56716121215928506,0.09203279595315322,-6.162598954920189,6.162598954920189
BTEC_5,-0.6450092072825064,0.07011266704001623,-9.199610206161074,9.199610206161074
BTEC_7,-0.27087854323742455,0.08137439374173634,-3.3287933805950174,3.3287933805950174
BTMOD_5,-0.04469264454552545,0.013792880719839863,-3.240269052804825,3.240269052804825
BTMOD_6,0.47694685261986536,0.03637953169098617,13.11030764967322,13.11030764967322
BUNI_2,-1.1230481999468396,0.11124183215977651,-10.095556483947574,10.095556483947574
BUNI_3,-1.010945541895853,0.21193008533271818,-4.770184187434861,4.770184187434861
BUNI_4,-1.4302335550998673,0.3093007751773968,-4.624086552255063,4.624086552255063
BUNI_5,-1.1816048207954393,0.08032523455454015,-14.710256712579405,14.710256712579405
BUNI_6,-0.9645984726745735,0.16410289305073214,-5.878010160225326,5.878010160225326
BUNI_7,-0.8891013000569254,0.10029235866311648,-8.865095126972035,8.865095126972035
BZCEN_4,0.9583864332256936,0.22341598709421262,4.289694957333336,4.289694957333336
BZCEN_5,0.25791374635098974,0.05329517374131442,4.839345258594307,4.839345258594307
BZCEN_6,-0.6827487889747834,0.15746894849153278,-4.335767753040501,4.335767753040501
BZSUR_2,-0.5818266019440493,0.067519904362868,-8.61711235278378,8.61711235278378
BZSUR_3,-0.6821023230477818,0.212581089989062,-3.2086688570600437,3.2086688570600437
BZSUR_5,-0.37941317264234103,0.06995485725507784,-5.423685895875377,5.423685895875377
BZSUR_6,-0.7800682558554404,0.18906899940485314,-4.125839023377289,4.125839023377289
BZSUR_7,-0.3397748873009918,0.08293227980569869,-4.097016120828313,4.097016120828313
