parametro,start,lower,upper
PH,0.26326527771450065,1e-4,1.2632652777145006
th1,0.8001078727378941,0.05,0.98
tw,0.2969456344377914,1e-4,1.2969456344377914
ASC2,-0.020210671339805034,-1.0202106713398051,0.979789328660195
ASC3,-3.13573431362216,-4.1357343136221605,-2.13573431362216
ASC4,-2.0795495398108277,-3.0795495398108277,-1.0795495398108277
ASC5,0.08192497745042793,-0.9180750225495721,1.081924977450428
ASC6,-2.9697488168142105,-3.9697488168142105,-1.9697488168142105
ASC7,-1.0686692971325547,-2.068669297132555,-0.06866929713255465
BAGE65_2,0.4054621220675736,-0.5945378779324264,1.4054621220675736
BAGE65_3,0.9722438293727407,-0.027756170627259324,1.9722438293727407
BAGE65_5,0.41312488877565307,-0.5868751112243469,1.4131248887756531
BCP_3,0.7096368547492456,-0.29036314525075435,1.7096368547492458
BCP_4,-1.8372436363246807,-2.837243636324681,-0.8372436363246807
BED_2,0.9920122854768806,-0.007987714523119416,1.9920122854768807
BED_6,-1.8039475419068536,-2.8039475419068536,-0.8039475419068536
BESC_2,-0.2178971750176283,-1.2178971750176282,0.7821028249823717
BESC_4,-0.43270990616605653,-1.4327099061660564,0.5672900938339435
BESC_5,-0.2966963518726189,-1.296696351872619,0.7033036481273811
BFEM_2,0.8423516297860785,-0.15764837021392153,1.8423516297860785
BFEM_3,0.9549159376237997,-0.04508406237620033,1.9549159376237997
BFEM_4,-0.8780641780934666,-1.8780641780934666,0.1219358219065334
BFEM_5,0.5281415927961489,-0.4718584072038511,1.5281415927961488
BFEM_6,-0.44962744027566154,-1.4496274402756615,0.5503725597243385
BFEM_7,0.7644422914970096,-0.2355577085029904,1.7644422914970095
BNTRAB_2,0.14645548358825264,-0.8535445164117473,1.1464554835882526
BPAREJA_2,-0.7784804744360236,-1.7784804744360236,0.22151952556397636
BPAREJA_3,-0.8012144596077823,-1.8012144596077824,0.19878554039221774
BPAREJA_4,-0.5098425417589452,-1.5098425417589452,0.49015745824105483
BPAREJA_5,-0.6645894708719439,-1.664589470871944,0.33541052912805613
BPAREJA_6,-0.4123737820131083,-1.4123737820131084,0.5876262179868916
BPAREJA_7,-0.5954924955176191,-1.595492495517619,0.40450750448238093
BQ3_5,-0.28342999838315247,-1.2834299983831525,0.7165700016168475
BQ4_2,-0.33681013625805056,-1.3368101362580505,0.6631898637419494
BQ4_5,-0.4091034637716307,-1.4091034637716306,0.5908965362283694
BQ5_2,-0.7542842103994204,-1.7542842103994203,0.2457157896005796
BQ5_5,-0.727982966701787,-1.727982966701787,0.27201703329821303
BTC_2,-1.1349713013533824,-2.1349713013533824,-0.13497130135338242
BTC_4,-2.1757825865621307,-3.1757825865621307,-1.1757825865621307
BTC_6,-1.2033364798620074,-2.203336479862007,-0.20333647986200742
BTC_7,-0.9731757432239091,-1.973175743223909,0.026824256776090905
BTD_2,-0.7928250931029601,-1.7928250931029601,0.20717490689703988
BTD_4,-0.8321322229845418,-1.8321322229845418,0.16786777701545819
BTD_5,1.144256243104112,0.1442562431041119,2.144256243104112
BTD_6,-3.0448989151759767,-4.044898915175977,-2.0448989151759767
BTEC_2,-0.5608992591575684,-1.5608992591575683,0.43910074084243156
BTEC_5,-0.6154305523144219,-1.615430552314422,0.3845694476855781
BTEC_7,-0.2851735945782104,-1.2851735945782103,0.7148264054217897
BTMOD_5,-0.050252410105949066,-1.0502524101059492,0.949747589894051
BTMOD_6,0.4806249011936662,-0.5193750988063338,1.480624901193666
BUNI_2,-1.0716902475970262,-2.0716902475970262,-0.07169024759702625
BUNI_3,-0.8027862079999494,-1.8027862079999495,0.19721379200005063
BUNI_4,-1.4072449215263618,-2.407244921526362,-0.4072449215263618
BUNI_5,-1.0579705758686706,-2.0579705758686706,-0.057970575868670604
BUNI_6,-0.9108750586098554,-1.9108750586098555,0.0891249413901446
BUNI_7,-0.7574126166628312,-1.7574126166628312,0.24258738333716878
BZCEN_4,0.9312820536168527,-0.06871794638314732,1.9312820536168527
BZCEN_5,0.2649208140117244,-0.7350791859882756,1.2649208140117243
BZCEN_6,-0.5985206971384359,-1.598520697138436,0.4014793028615641
BZSUR_2,-0.5002490073404442,-1.5002490073404442,0.4997509926595558
BZSUR_3,-0.45734496462228025,-1.4573449646222802,0.5426550353777198
BZSUR_5,-0.3505163915456969,-1.350516391545697,0.6494836084543031
BZSUR_6,-0.6791685139096078,-1.6791685139096078,0.32083148609039225
BZSUR_7,-0.3113644421132927,-1.3113644421132928,0.6886355578867073
