parametro,start
PH,0.2914563796536033
th1,0.7999303213613823
tw,0.25959739324988146
ASC2,-0.09350134283566998
ASC3,-3.0973070434067878
ASC4,-2.1652336789409534
ASC5,-0.0486436746670712
ASC6,-2.914648250768562
ASC7,-1.0633076731154467
BAGE65_2,0.5044223115409984
BAGE65_3,1.0649742702750224
BAGE65_5,0.44789566695882665
BCP_3,1.0037447895732519
BCP_4,-2.3363159158304994
BED_2,0.9037436970990602
BED_6,-1.6683759151928357
BESC_2,-0.20895814045390973
BESC_4,-0.3544163949764845
BESC_5,-0.27515268811797683
BFEM_2,0.9216980675914087
BFEM_3,0.9080073901855886
BFEM_4,-0.683384530993919
BFEM_5,0.45816807074797933
BFEM_6,-0.4710156133406996
BFEM_7,0.7803895299514633
BNTRAB_2,0.15513509494524338
BPAREJA_2,-0.773425187139784
BPAREJA_3,-0.6955703882601811
BPAREJA_4,-0.614502626007703
BPAREJA_5,-0.676977610742076
BPAREJA_6,-0.34766950147114895
BPAREJA_7,-0.5830692061893161
BQ3_5,-0.10596888767905942
BQ4_2,-0.2941450241823869
BQ4_5,-0.2683941006171493
BQ5_2,-0.690232947058815
BQ5_5,-0.4996179501894099
BTC_2,-1.1712214237066219
BTC_4,-2.1366057383407355
BTC_6,-1.1908217214340016
BTC_7,-1.03578533141646
BTD_2,-0.9045833967554896
BTD_4,-0.999616643975635
BTD_5,0.9742941596798947
BTD_6,-3.1174493637017844
BTEC_2,-0.575578639331286
BTEC_5,-0.6028272156749869
BTEC_7,-0.28460896146641546
BTMOD_5,-0.022097693414526574
BTMOD_6,0.44629918969288296
BUNI_2,-1.063179757383789
BUNI_3,-0.9362151616960235
BUNI_4,-1.3580337265389006
BUNI_5,-0.995024206691167
BUNI_6,-0.9004586433702426
BUNI_7,-0.8176129634744554
BZCEN_4,0.9838964987543738
BZCEN_5,0.1975770204085764
BZCEN_6,-0.6317656278669678
BZSUR_2,-0.6306030477574261
BZSUR_3,-0.7261964491963987
BZSUR_5,-0.48668512474557424
BZSUR_6,-0.7766049390344836
BZSUR_7,-0.38184400637036
