PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
123,48.15,48.08,7.81,63.959999999999994,2.9133,85.5053994,168,00220-1-03,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,60.230000000000004,0,60.230000000000004,25.2753994,168,55.89,54.7699956,217.59433260000003
125,38.96,58.99,8.16,61.889999999999986,11.67662,277.84109567999997,168,00223-1-01,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Motorizados privados,247.92,0,247.92,29.921095680000004,168,67.15,177.08001952,961.1650525200001
136,61.85,45.86,8.15,52.14000000000001,3.024611,187.07219035,168,00235-1-02,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad activa,0,0,0,187.07219035,168.00000000000003,54.01,2.842170943040401e-14,163.35924011
138,63.19,37.71,11.84,55.25999999999999,3.058789,115.65485552999999,168,00239-1-01,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,59.870000000000005,0,59.870000000000005,55.784855529999994,168,49.55,77.63002137999999,229.19301633
141,48.78,33.31,8.54,77.37,4.446399,110.47536097999999,168,00252-1-02,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad mixta,81.08,0,81.08,29.395360979999996,168,41.85,106.41998224000004,292.50178039
147,62.98,31.25,7.2,66.57000000000001,4.913503,151.502411,168,00263-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,142.04999999999998,0,142.04999999999998,9.452411,168,38.45,157.95000794000003,346.87419829
148,54.61,56.73,5.06,51.6,3.277512,100.01495163999999,168,00263-1-02,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,71.02999999999999,0,71.02999999999999,28.98495164,168,61.79,78.96997868000003,281.48744516000005
151,78.82,24.9,10.05,54.230000000000004,3.750023,190.99678336,168,00269-1-02,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,114.17,43.75,70.42,120.57678336,168,34.95,104.58002949999997,235.64333334999998
156,75.02,23.78,12.19,57.010000000000005,4.436488,39.185332299999985,168,00282-1-01,45 a 59,Hombres,Quintil medio,Norte,Trabajadores moviles,Motorizados privados,206.35999999999999,250,-43.640000000000015,82.8253323,168,35.97,293.63999746,453.22047082
161,60.46,29.4,10.77,67.36999999999999,5.487832,158.05431014,168,00289-1-04,30 a 44,Hombres,Quintil medio,Centro,Trabajadores rutinarios,Movilidad mixta,126.26,0,126.26,31.794310140000004,168,40.17,173.74001258,394.18622402000005
172,56.34,34.28,12.4,64.97999999999999,5.964521,163.17109418,168,00307-1-01,30 a 44,Hombres,Quintil medio,Centro,Trabajadores rutinarios,Movilidad mixta,177.13,50,127.13,36.04109418,168,46.68,172.87001896000004,451.29385924000013
174,55.77,43.94,14.22,54.06999999999999,2.433398,89.33824654761906,168,00309-1-02,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,59.580000000000005,5.95238095238095,53.627619047619056,35.7106275,168,58.16,46.372359912380944,187.89878759238093
184,73.6,23.25,10.28,60.870000000000005,3.190735,165.49806759999998,168,00341-1-01,45 a 59,Hombres,Quintil medio,Centro,Cuidadores domesticos,Motorizados privados,80.66,0,80.66,84.83806759999999,168,33.53,69.3400284,176.32537295
185,47.82,39.67,12.9,67.61,3.02866,144.8305212,168,00341-1-04,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,144.8305212,168,52.57,0,159.21665620000002
193,29.29,55.2,11.75,71.76,3.143625,92.07677625,168,00354-1-02,60 o mas,Mujeres,Quintil medio,Sur,Rutina flexible,Motorizados privados,0,0,0,92.07677625,168,66.95,0,210.46569374999999
194,51.37,57.76,2.54,56.33,0.201727,10.36272978,168,00354-1-03,18 a 29,Hombres,Quintil medio,Sur,Jovenes trabajadores,Motorizados privados,0,0,0,10.36272978,168,60.3,-1.3790000002344982e-5,12.16412431
196,58.3,22.57,12.07,75.06,2.880039,128.7134355571429,168,00358-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Usuarios publicos,32.95,47.1428571428571,-14.1928571428571,142.9062927,168,34.64,39.192838142857084,138.9573891028571
212,5.84,54.13,6.25,101.78,3.051717,17.82202728,168,00390-1-04,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,0,0,0,17.82202728,168,60.38,0,184.26267245999998
216,58.94,49.45,5.06,54.55,2.696581,82.0364817,168,00394-1-04,30 a 44,Hombres,Quintil medio,Norte,Jovenes trabajadores,Movilidad activa,48.1,0,48.1,33.9364817,168,54.510000000000005,76.90000244000001,223.89063275000004
219,52.99,36.46,21.85,56.69999999999998,11.830855,334.03701562000003,168,00401-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,307.12,0,307.12,26.91701562,168,58.31,292.87999083,982.73714588
220,29.43,44.85,18.37,75.35,2.994527,88.12892961,168,00401-1-02,45 a 59,Mujeres,Quintil medio,Sur,Rutina flexible,Motorizados privados,0,0,0,88.12892961,168,63.22,0,189.31399694000004
232,52.52,28.08,18.9,68.5,6.153641,149.75921344,168,00430-1-02,60 o mas,Hombres,Quintil medio,Centro,Trabajadores rutinarios,Motorizados privados,126.57,0,126.57,23.18921344,168,46.98,173.43001188000005,462.52806606000007
233,67.37,30.43,13.71,56.48999999999999,4.083367,93.17917008657602,168,00431-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,148.89000000000001,125.807269653424,23.082730346576014,70.09643974000001,168,44.14,181.91726470342397,362.157084083424
237,72.13,27.58,9.55,58.74000000000001,5.506714,260.35925831,168,00440-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,163.16,0,163.16,97.19925830999998,168,37.129999999999995,136.84002250999998,341.3043133299999
238,50.52,48.8,13.01,55.669999999999995,11.727205,303.11840207999995,168,00443-1-01,45 a 59,Hombres,Quintil medio,Sur,Jovenes trabajadores,Motorizados privados,285.65999999999997,0,285.65999999999997,17.45840208,168,61.809999999999995,289.33999452000006,1014.1985355700001
240,64.85,26.29,11.06,65.80000000000001,2.880642,47.177273449438005,168,00446-1-01,45 a 59,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Movilidad mixta,92.98,110.112359550562,-17.132359550562,64.309633,168,37.35,139.632360250562,247.22433895056196
246,64.07,34.21,11.32,58.4,3.143866,146.30748719,168,00456-1-02,30 a 44,Hombres,Quintil medio,Sur,Trabajadores rutinarios,Movilidad mixta,94.88,0,94.88,51.42748719,168,45.53,55.12000742999999,198.26022641
262,58.35,57.15,5.55,46.95000000000001,6.676654,158.36274905,168,00498-1-01,60 o mas,Hombres,Quintil medio,Norte,Jovenes trabajadores,Movilidad mixta,131.28,0,131.28,27.08274905,168,62.699999999999996,231.22001185000005,649.84621765
265,62.29,49.25,10.3,46.16000000000001,9.030711,222.64296769999999,168,00509-1-01,30 a 44,Mujeres,Quintil medio,Centro,Trabajadores moviles,Motorizados privados,302.62,117.5,185.12,37.522967699999995,168,59.55,339.88002049,877.6588605399999
268,55.91,43.03,4.62,64.44,9.085582,148.31490768000003,168,00514-1-01,30 a 44,Mujeres,Quintil medio,Norte,Jovenes trabajadores,Motorizados privados,275.34000000000003,160,115.34000000000003,32.97490768,168,47.65,359.65998193999997,792.58796424
269,8.09,65.19,5,89.72,3.020669,24.43721221,168,00514-1-03,18 a 29,Mujeres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,24.43721221,168,70.19,0,212.02075710999998
273,40.33,32.73,16.87,78.07,12.424511,143.28052989,168,00520-1-01,45 a 59,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,242.2,100,142.2,1.08052989,168,49.599999999999994,357.79999874,974.05574434
274,54.35,29.77,25.2,58.68000000000001,3.063798,86.81742129999999,168,00521-1-01,60 o mas,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Usuarios publicos,56.8,136.5,-79.7,166.5174213,168,54.97,79.7,248.11697605999996
280,62.51,35.94,12.59,56.96000000000001,4.018324,138.60542461,168,00530-1-01,60 o mas,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Movilidad mixta,87.42,0,87.42,51.18542461,168,48.53,112.58000862999998,307.58927234999993
284,49.86,39.98,10.53,67.63,5.186084,173.38816305999998,168,00539-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,77.30999999999999,0,77.30999999999999,96.07816306,168,50.51,85.18998518000004,347.13908802000003
297,59.71,60.9,6.79,40.599999999999994,3.163763,119.87828873000001,168,00565-1-02,60 o mas,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,40.47,109.5,-69.03,188.90828873,168,67.69,69.03,283.18511746999997
