parametro,start,lower,upper
PH,0.2608136613722538,0.001,0.7608136613722538
th1,0.7994946184471656,0.29949461844716563,0.98
tw,0.3011581205863736,-0.1988418794136264,0.8011581205863736
ASC2,-0.15974833630431753,-0.6597483363043175,0.3402516636956825
ASC3,-3.142257358654321,-3.642257358654321,-2.642257358654321
ASC4,-2.0770892778201278,-2.5770892778201278,-1.5770892778201278
ASC5,-0.0027286068756612984,-0.5027286068756613,0.4972713931243387
ASC6,-3.194051808790558,-3.694051808790558,-2.694051808790558
ASC7,-1.140567009138836,-1.640567009138836,-0.640567009138836
BAGE65_2,0.5092154585545761,0.009215458554576061,1.009215458554576
BAGE65_3,1.0608249208660727,0.5608249208660727,1.5608249208660727
BAGE65_5,0.4430496088107153,-0.05695039118928469,0.9430496088107153
BCP_3,0.9108887147759007,0.4108887147759007,1.4108887147759006
BCP_4,-3.0942261077093822,-3.5942261077093822,-2.5942261077093822
BED_2,1.0092396929791836,0.5092396929791836,1.5092396929791836
BED_6,-2.323409802568765,-2.823409802568765,-1.823409802568765
BESC_2,-0.17629631364050044,-0.6762963136405005,0.32370368635949953
BESC_4,-0.3692975516402716,-0.8692975516402717,0.13070244835972838
BESC_5,-0.2768253407916781,-0.7768253407916781,0.2231746592083219
BFEM_2,0.919149616193404,0.41914961619340396,1.4191496161934039
BFEM_3,0.9540462706473077,0.45404627064730774,1.4540462706473076
BFEM_4,-0.7058608838739893,-1.2058608838739893,-0.20586088387398926
BFEM_5,0.5808376143397975,0.08083761433979753,1.0808376143397975
BFEM_6,-0.38087711108278394,-0.880877111082784,0.11912288891721606
BFEM_7,0.7991175772564368,0.29911757725643684,1.2991175772564367
BNTRAB_2,0.15053595857955251,-0.3494640414204475,0.6505359585795525
BPAREJA_2,-0.7526203554956822,-1.252620355495682,-0.2526203554956822
BPAREJA_3,-0.695312611266465,-1.195312611266465,-0.19531261126646504
BPAREJA_4,-0.6293547036685831,-1.1293547036685831,-0.12935470366858315
BPAREJA_5,-0.6497525787083933,-1.1497525787083933,-0.1497525787083933
BPAREJA_6,-0.35292233274761825,-0.8529223327476183,0.14707766725238175
BPAREJA_7,-0.5793560989321086,-1.0793560989321085,-0.0793560989321086
BQ3_5,-0.23954382520676662,-0.7395438252067666,0.26045617479323335
BQ4_2,-0.33647713190288775,-0.8364771319028877,0.16352286809711225
BQ4_5,-0.42086687662003086,-0.9208668766200309,0.07913312337996914
BQ5_2,-0.7794076244119825,-1.2794076244119825,-0.2794076244119825
BQ5_5,-0.7197169632298969,-1.2197169632298968,-0.21971696322989687
BTC_2,-1.0973460705266656,-1.5973460705266656,-0.5973460705266656
BTC_4,-2.0124822921850343,-2.5124822921850343,-1.5124822921850343
BTC_6,-1.2326150794338038,-1.7326150794338038,-0.7326150794338038
BTC_7,-0.9717884938587142,-1.4717884938587142,-0.47178849385871424
BTD_2,-0.8415916570820181,-1.341591657082018,-0.3415916570820181
BTD_4,-0.9380544658215091,-1.438054465821509,-0.4380544658215091
BTD_5,1.0483953642366979,0.5483953642366979,1.5483953642366979
BTD_6,-3.6807024408980586,-4.180702440898059,-3.1807024408980586
BTEC_2,-0.5111811261971801,-1.0111811261971801,-0.011181126197180147
BTEC_5,-0.593975634683464,-1.093975634683464,-0.09397563468346404
BTEC_7,-0.21290093908871294,-0.7129009390887129,0.28709906091128706
BTMOD_5,-0.04863031771852555,-0.5486303177185256,0.45136968228147445
BTMOD_6,0.49445457586315295,-0.005545424136847055,0.9944545758631529
BUNI_2,-1.0441644198154663,-1.5441644198154663,-0.5441644198154663
BUNI_3,-0.9305376354742813,-1.4305376354742814,-0.43053763547428126
BUNI_4,-1.4587667595737825,-1.9587667595737825,-0.9587667595737825
BUNI_5,-1.1082459565168683,-1.6082459565168683,-0.6082459565168683
BUNI_6,-0.9122213431663749,-1.412221343166375,-0.41222134316637493
BUNI_7,-0.7876926748758741,-1.2876926748758741,-0.28769267487587413
BZCEN_4,0.9231830609126854,0.4231830609126854,1.4231830609126854
BZCEN_5,0.26546592528724533,-0.23453407471275467,0.7654659252872453
BZCEN_6,-0.5573234794627123,-1.0573234794627124,-0.05732347946271232
BZSUR_2,-0.5292991745846606,-1.0292991745846605,-0.02929917458466058
BZSUR_3,-0.6221333580912293,-1.1221333580912294,-0.12213335809122927
BZSUR_5,-0.34859181393738004,-0.84859181393738,0.15140818606261996
BZSUR_6,-0.607032357809718,-1.107032357809718,-0.10703235780971798
BZSUR_7,-0.30745275662672417,-0.8074527566267242,0.19254724337327583
