PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,48.83378142888555,17.46,33.818121086423965,12.58,8.638097484690496,76.71,3.959658,118.57902849999999,76.05,0,76.05,42.5290285,6.542917870796526,15.326355707431267,2.5832598707965255,11.366697707431268,1.6523946943893957,0.6523946943893956,123.95002400000001,74.78604480513812,242.89815032000007,12.416218571114449,-16.358121086423964,3.941902515309504,168,168,0
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,54.750860103343,24.23,36.58444549927991,10.64,9.344694397377097,67.32,3.997689,139.13788734,76.05,0,76.05,63.087887339999995,6.448739238158508,13.203433666518158,2.451050238158508,9.205744666518159,1.6131167877637576,0.6131167877637576,123.95002574999998,79.73902383567318,263.34944118,11.059139896657001,-12.354445499279908,1.2953056026229035,168,168,0
16,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,52.99,49.57655913457809,48.59,44.52938570513285,3.9,11.374055160289066,62.51999999999999,33.771639,641.39914846,601.84,0,601.84,39.55914846,68.62851437016818,81.24900565776889,34.856875370168176,47.47736665776889,2.0321345484644135,1.0321345484644135,1148.1600021500003,1032.882509495124,2920.8333332600005,3.4134408654219115,4.06061429486715,-7.4740551602890655,168,168,0
28,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,62.38,71.02017286528357,24.71,21.21971598234106,10.57,5.420111152375365,70.34,3.0454,189.972052,0,0,0,189.972052,3.6688299824321113,0,0.6234299824321115,-3.0454,1.204712018924316,0.20471201892431584,0,26.312782443934594,107.44171199999997,-8.640172865283567,3.49028401765894,5.149888847624635,168,168,0
29,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,69.85,66.83528343088938,43.02,45.97214116310285,11.68,11.742575406007777,43.45,4.083798,169.43289041739132,148.31,39.1304347826087,109.1795652173913,60.253325200000006,6.6616738602782695,7.864841010261928,2.5778758602782696,3.7810430102619286,1.6312447041401827,0.6312447041401826,115.82039988260863,103.50890638710786,339.20415048260867,3.014716569110618,-2.9521411631028442,-0.06257540600777745,168,168,0
30,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,31.82,41.18129745979547,33.08,22.93138346258805,5.07,5.8573190776164745,98.03,2.976366,88.64793986000001,6.4399999999999995,0,6.4399999999999995,82.20793986000001,4.3768352246096995,0.5900273968347977,1.4004692246096995,-2.3863386031652025,1.4705299094969164,0.47052990949691653,6.060026260000001,33.92267373522161,119.60838916,-9.361297459795473,10.148616537411947,-0.7873190776164742,168,168,0
50,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,75.81,74.44734871545393,27.7,34.317100460195626,14.02,8.765550824350449,50.47,2.84351,167.27852930495146,60.28,3.56796116504854,56.712038834951464,110.56649046999999,3.829149818644457,4.299191660765406,0.9856398186444566,1.4556816607654062,1.3466278714140116,0.34662787141401175,48.28796379504857,44.41325124092896,166.91920099504858,1.3626512845460752,-6.617100460195626,5.254449175649551,168,168,0
51,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,74.54,57.41383364665392,20.94,41.35335786298456,13.85,10.562808490361515,58.669999999999995,7.569237,254.6509037,240.44,0,240.44,14.2109037,12.87325511369289,33.05085162327399,5.30401811369289,25.48161462327399,1.7007335235629284,0.7007335235629284,309.5600222800001,179.9280102500978,572.8937775100002,17.126166353346086,-20.413357862984558,3.2871915096384843,168,168,0
54,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,54.25,61.07292260616993,38.3,35.2924061237414,12.83,9.014671270088671,62.620000000000005,2.879951,125.07732475,21.340000000000003,0,21.340000000000003,103.73732475,4.259569797005956,2.2636751701379807,1.3796187970059561,-0.6162758298620195,1.4790424548910575,0.47904245489105757,31.16001700000001,50.80969978256172,178.41191163000002,-6.822922606169932,3.0075938762585963,3.8153287299113288,168,168,0
57,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,56.34,60.85757504069281,47.69,39.343094233135645,6.22,10.049330726171544,57.75,6.213444,246.53546587999998,196.46999999999997,0,196.46999999999997,50.065465880000005,9.896614665509412,7.133274988436228,3.6831706655094125,0.9198309884362281,1.5927744203551866,0.5927744203551867,103.52996908000003,131.5996686111425,438.49673512000004,-4.517575040692805,8.346905766864353,-3.829330726171544,168,168,0
58,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,51.64,52.21835030792408,30.53,40.91166257719591,21.41,10.449987114880006,64.42,5.057747,138.57203207999999,102.39,0,102.39,36.18203208,9.078595644854412,8.76831700285143,4.020848644854412,3.710570002851431,1.7949880934839981,0.7949880934839982,122.61002300000001,125.53517253485211,385.30940218,-0.5783503079240759,-10.381662577195911,10.960012885119994,168,168,0
60,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,63.7,63.086956083749,54.44,49.523381926949114,7.12,12.649661989301887,42.74,5.690309,188.60266080000002,126.13000000000001,0,126.13000000000001,62.4726608,10.179180358057376,10.491034449403077,4.488871358057376,4.800725449403077,1.7888624955265833,0.7888624955265832,173.8700225,170.38161318596167,524.16544454,0.6130439162510015,4.916618073050884,-5.529661989301887,168,168,0
64,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,68.42,76.44953483097251,46.22,34.179947150268724,4.72,8.730518018758769,48.64,2.661622,162.63819284000002,60.53,0,60.53,102.10819284000002,3.5353419792775633,1.4197075008492739,0.8737199792775634,-1.241914499150726,1.3282659894145612,0.32826598941456125,19.469984399999987,40.8415709558827,155.05300907999995,-8.029534830972509,12.040052849731275,-4.010518018758769,168,168,0
66,00103-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,69.15,68.79810957443003,24.71,28.517675532190637,10.74,7.284214893379348,63.399999999999984,4.005066,224.44028745,47.49,0,47.49,176.95028745,5.301673175183537,5.501969917131129,1.2966071751835369,1.496903917131129,1.3237417748380518,0.3237417748380518,52.510026450000026,51.100682070824206,194.4896161500001,0.35189042556997663,-3.807675532190636,3.4557851066206524,168,168,0
86,00147-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,60.62,69.37933419416893,52.02,39.85147926968555,6.77,10.179186536145531,48.58999999999999,3.290776,162.79685478,88.31,50,38.31,124.48685477999999,4.864034324083011,2.3181220811597014,1.5732583240830111,-0.9726539188402987,1.478081256239565,0.4780812562395651,36.68998634000002,65.51499308215048,230.15470738000005,-8.759334194168936,12.168520730314455,-3.4091865361455316,168,168,0
88,00150-1-05,30 a 44,Mujeres,Quintil alto,Norte,Trabajadores rutinarios,Movilidad mixta,47.74,49.128744248051625,42.95,41.540616220314504,10.59,10.610639531633893,66.71999999999998,5.734147,127.87820081999999,104.13,0,104.13,23.74820082,10.956646060588813,10.119982499254045,5.222499060588813,4.3858354992540445,1.910771743484918,0.9107717434849182,145.86997696,153.8332406237325,452.8762073400002,-1.3887442480516228,1.4093837796854984,-0.020639531633893426,168,168,0
89,00151-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,51.79,61.72562905291369,26.29,23.103172202704588,12.65,5.9011987443817135,77.27000000000001,3.037327,157.30316532999998,0,0,0,157.30316532999998,3.864699069902013,0,0.8273720699020131,-3.037327,1.2724013811822084,0.27240138118220825,0,30.17775438439918,118.27351337999997,-9.93562905291369,3.186827797295411,6.748801255618287,168,168,0
