indicador,valor
N personas MNL final,8919
N personas MTUEM final,7925
N personas interseccion joint,7925
N filas joint,12083
Promedio filas por persona,1.5246687697160883
Media Tw,53.173497791798106
Media Tf1,37.27156971608833
Media Tc,67.78534006309148
Media w,4.009591443280757
Media Ec,132.8829973243303
