variable,edad_modelo,educacion_modelo,quintil_modelo,territorio_modelo
edad_modelo,1,-0.19235128831541934,0.19204024922029928,0.015978701328343625
educacion_modelo,-0.19235128831541934,1,0.33334612457860874,-0.023272267578640933
quintil_modelo,0.19204024922029928,0.33334612457860874,1,-0.030207998447392432
territorio_modelo,0.015978701328343625,-0.023272267578640933,-0.030207998447392432,1
