variable,mod_TD,mod_TC,mod_ED,mod_CP,female,zona_centro,zona_sur,edad_18_24,edad_65mas,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5
mod_TD,1,-0.43918755488830374,-0.36125203322537147,-0.3883875185071327,0.02673518205447567,0.05788255924626116,-0.03787348618012041,-0.15952375080837894,0.3097002184151526,0.010676688737968943,-0.018728213671512,-0.02970239076644426,-0.005942538407800315,0.012078588731042098,-0.005707574522213316,0.0032947446675026335
mod_TC,-0.43918755488830374,1,-0.2701772471654802,-0.29736113603700465,0.07509577672398789,-0.04489125747759462,0.007454492580289618,-0.2057361028129442,-0.2213607559845738,0.2557513636378235,-0.03221396901485152,0.07803949033146258,0.07847846439577984,-0.023226017196696078,0.004687030014806075,0.019188765663372048
mod_ED,-0.3612520332253714,-0.2701772471654802,1,-0.17258822339178095,-0.0852522036458343,-0.018645457053599556,0.002602197207588313,0.7023285979043171,-0.5209656366324038,-0.45527270830762956,0.2757341196064177,0.033224567304820124,-0.24780110805167901,-0.029845301779338362,-0.06693423627085866,-0.0843916446372381
mod_CP,-0.38838751850713266,-0.29736113603700465,-0.17258822339178095,1,0.1379443118950467,0.03258635549938539,0.004255281622943871,-0.1021660801014409,0.3300039807339623,4.214275741989223e-4,-0.053845779356617676,-0.046220616010031995,-0.0318987528915813,0.052429370853608735,0.020550888591294364,-0.012203574767461072
female,0.026735182054475642,0.0750957767239879,-0.08525220364583432,0.13794431189504672,1,-0.011386967935950903,0.0018640953275920532,-0.09993543330896967,-0.06124258065094888,-0.1413932960202097,-0.003074854431131358,0.02887579349231448,-0.021374756948855787,0.010055306436250865,-0.022060604377614586,-0.0967890150943515
zona_centro,0.057882559246261116,-0.044891257477594565,-0.018645457053599566,0.032586355499385364,-0.011386967935950903,1,-0.9658388087587987,0.0349200152120529,0.05515634617397848,-0.012243338619703448,0.02608478674543621,-0.026750502788522087,-0.01887834920384809,-0.019200242210400252,-0.03511529437152688,0.015212258871008513
zona_sur,-0.037873486180120375,0.007454492580289503,0.00260219720758831,0.004255281622943903,0.0018640953275920653,-0.9658388087587987,1,-0.02300887425805052,-0.013540102325951112,-0.008435424076918982,-0.047241773322851684,0.04091531353005848,0.008797009560633938,0.01033425101529136,0.03711165143528122,-0.007670308464043078
edad_18_24,-0.15952375080837894,-0.20573610281294427,0.7023285979043172,-0.10216608010144092,-0.09993543330896969,0.034920015212052916,-0.0230088742580505,1,-0.6646133349357617,-0.5384093647960907,0.3763185721817734,0.07943348328095773,-0.3502582567383842,-0.048344636676392265,-0.09247936164040273,-0.14391045876012293
edad_65mas,0.3097002184151526,-0.2213607559845738,-0.5209656366324038,0.3300039807339623,-0.0612425806509489,0.05515634617397847,-0.013540102325951094,-0.6646133349357616,1,0.0058344356164373315,-0.04705591402910749,-0.14098977820029412,-0.05762826950219911,0.027428558959841365,0.040312976501823826,0.07338928671539709
vive_pareja,0.01067668873796893,0.25575136363782347,-0.45527270830762956,4.214275741989368e-4,-0.1413932960202097,-0.012243338619703475,-0.008435424076918984,-0.5384093647960908,0.0058344356164373315,1,-0.055209091279596424,0.026580477331461336,0.10662382090384438,0.01317985149928354,0.044335089543023364,0.1308137432015724
educ_secundaria,-0.018728213671512003,-0.03221396901485141,0.27573411960641764,-0.053845779356617725,-0.003074854431131358,0.02608478674543621,-0.047241773322851684,0.3763185721817733,-0.047055914029107526,-0.055209091279596396,1,-0.5076632658316824,-0.48982660746597206,0.05068869464247582,-0.06230563154277087,-0.19456566949416215
educ_tecnica,-0.029702390766444275,0.07803949033146258,0.033224567304820124,-0.046220616010031995,0.028875793492314485,-0.026750502788522142,0.04091531353005847,0.0794334832809577,-0.1409897782002941,0.02658047733146133,-0.5076632658316825,1,-0.4653667388223693,0.01937054492022464,0.020759881680243165,-0.12057430810938732
educ_universitaria,-0.005942538407800334,0.07847846439577974,-0.2478011080516789,-0.03189875289158132,-0.02137475694885583,-0.01887834920384808,0.00879700956063391,-0.3502582567383842,-0.057628269502199084,0.10662382090384434,-0.4898266074659719,-0.46536673882236934,1,-0.1172496925833547,0.03931751677793933,0.3438378989657769
quintil_3,0.012078588731042103,-0.02322601719669608,-0.029845301779338366,0.052429370853608735,0.010055306436250865,-0.01920024221040028,0.010334251015291325,-0.04834463667639225,0.027428558959841403,0.013179851499283562,0.05068869464247582,0.019370544920224587,-0.11724969258335469,1,-0.4986538610661704,-0.47172912670471256
quintil_4,-0.005707574522213359,0.004687030014806071,-0.06693423627085866,0.02055088859129439,-0.022060604377614586,-0.03511529437152687,0.0371116514352812,-0.09247936164040275,0.04031297650182384,0.044335089543023384,-0.06230563154277087,0.02075988168024314,0.03931751677793937,-0.49865386106617043,1,-0.458835507356516
quintil_5,0.0032947446675026214,0.01918876566337206,-0.08439164463723811,-0.012203574767461072,-0.09678901509435153,0.01521225887100853,-0.007670308464043078,-0.14391045876012293,0.07338928671539705,0.13081374320157238,-0.19456566949416218,-0.1205743081093873,0.3438378989657769,-0.4717291267047125,-0.45883550735651596,1
