variable,modulo_modelo,sexo_modelo,territorio_modelo,edad_modelo,educacion_modelo,quintil_modelo,pareja_modelo
modulo_modelo,1,0.1403015281324825,0.04184742072108128,0.3931739286666213,0.11576138661679825,0.04635469214626076,0.22076520176472259
sexo_modelo,0.1403015281324825,1,0.00941944969512434,0.06699626737931415,0.022094650094895356,0.0882013771096911,0.08733126491732307
territorio_modelo,0.04184742072108128,0.00941944969512434,1,0.030355680718908956,0.030465610892167778,0.037606773973171435,0.005730326295841229
edad_modelo,0.3931739286666213,0.06699626737931415,0.030355680718908956,1,0.2670129649485112,0.1146666732880618,0.26568926040966234
educacion_modelo,0.11576138661679825,0.022094650094895356,0.030465610892167778,0.2670129649485112,1,0.2166551882454425,0.058018388871993
quintil_modelo,0.04635469214626076,0.0882013771096911,0.037606773973171435,0.1146666732880618,0.2166551882454425,1,0.2071539399642545
pareja_modelo,0.22076520176472259,0.08733126491732307,0.005730326295841229,0.26568926040966234,0.058018388871993,0.2071539399642545,1
