variable,sexo_modelo,territorio_modelo,edad_modelo,educacion_modelo,quintil_modelo,pareja_modelo
sexo_modelo,1,0.002017022902645582,0.061209441296865286,0.023582847924124083,0.0858361635375657,0.059363579979644365
territorio_modelo,0.002017022902645582,1,0.0321616095165944,0.030751061037606817,0.038866542468612195,0.0034839229310753314
edad_modelo,0.061209441296865286,0.0321616095165944,1,0.2718327111845231,0.11862960716570504,0.27377303441254786
educacion_modelo,0.023582847924124083,0.030751061037606817,0.2718327111845231,1,0.2037942698325967,0.04494234981312728
quintil_modelo,0.0858361635375657,0.038866542468612195,0.11862960716570504,0.2037942698325967,1,0.18448982045444384
pareja_modelo,0.059363579979644365,0.0034839229310753314,0.27377303441254786,0.04494234981312728,0.18448982045444384,1
