parametro,valor
PH,0.2621637236678927
th1,0.799556742178797
tw,0.29866623735341047
ASC2,-0.17540733640438558
ASC3,-3.1894622025833375
ASC4,-2.079854085533415
ASC5,-3.4423094972537994e-4
ASC6,-3.2410743180988164
ASC7,-1.1222881724343916
BAGE65_2,0.5203402697786002
BAGE65_3,1.0427735009939239
BAGE65_5,0.4480770611410962
BCP_3,0.9278993950640742
BCP_4,-3.8694677559659096
BED_2,1.0206746677937322
BED_6,-2.139333992863787
BESC_2,-0.153786926593772
BESC_4,-0.3718456838671151
BESC_5,-0.2634997924940605
BFEM_2,0.9277158098208845
BFEM_3,1.0041681648375493
BFEM_4,-0.6987261022477149
BFEM_5,0.5732491853447271
BFEM_6,-0.37167305308033793
BFEM_7,0.7833387962721147
BNTRAB_2,0.148896438387117
BPAREJA_2,-0.7580944360402034
BPAREJA_3,-0.6722543605228954
BPAREJA_4,-0.6391281266918334
BPAREJA_5,-0.6499592738630435
BPAREJA_6,-0.33490474136637705
BPAREJA_7,-0.5840314687588031
BQ3_5,-0.24744808406972682
BQ4_2,-0.3391500589829085
BQ4_5,-0.4300061084331024
BQ5_2,-0.7648578774725665
BQ5_5,-0.7354593481503892
BTC_2,-1.1033930147779702
BTC_4,-2.0888486076706765
BTC_6,-1.2440464763809995
BTC_7,-0.9657941632140593
BTD_2,-0.8456488066119597
BTD_4,-0.973646076194624
BTD_5,1.0474153349165114
BTD_6,-3.4146883565697213
BTEC_2,-0.5048898852798539
BTEC_5,-0.5869872990213635
BTEC_7,-0.2280685364403661
BTMOD_5,-0.04611302480916028
BTMOD_6,0.5012960392610261
BUNI_2,-1.0260896157934
BUNI_3,-0.9432947436386898
BUNI_4,-1.4565171575648028
BUNI_5,-1.09743655466943
BUNI_6,-0.9370398480259263
BUNI_7,-0.8019705446806805
BZCEN_4,0.9393320696914087
BZCEN_5,0.250712623969144
BZCEN_6,-0.5676554128278859
BZSUR_2,-0.5374013683280111
BZSUR_3,-0.6412043151754667
BZSUR_5,-0.36711058337733
BZSUR_6,-0.6347103636848646
BZSUR_7,-0.31833241954938707
